Username,#Post,#Followers,Last_Photo,Phone_1,Phone_2,Phone_3,Biography,Link
disenio_lunada,"2,738","6,123",29-Jun-18,,,,Delicate Handmade Accessories  Follow a classnotranslate hreflunadalimitedlunadalimiteda  Worldwide shipping  Venezuela 584127123487  diseniolunadagmailcom,www.facebook.com/Disenio.Lunada
simplementedivino,"1,544","7,642",29-Jun-18,3146787598,,,En cada una de nuestras piezas tenemos una historia para contarte  ShowrroomVia Primavera 57 3146787598,No link
sunmarketoficial,148,509,28-Jun-18,3007804020,,,Lugares Soñados Amantes del Verano Publicidad para Prendas y   Accesorios de Mujer MedellinColombia Contacto  3007804020,No link
import_sc,169,943,28-Jun-18,,,3113623917,Tienda virtual  Variedad en productos   Envíos a todo el país Pago contra entrega No se aceptan LLAMADAS  Whatsapp directo a class hrefexploretagsimportscimportsca,api.whatsapp.com/send?l=es&amp;phone=573113623917
accesoriosfemm,99,422,29-Jun-18,3006030304,,,Hecho a mano compra colombiano 300 603 0304 Envíos nacionales a class hrefexploretagsmedellínMedellína  pedidos WhatsApp Encuentra todos los precios en nuestro Facebook ,www.facebook.com/femm.accesorios
waraaccesorios,287,"1,413",28-Jun-18,3003069506,,,Marca creada pensando en la innovación para la mujer Envíos  a toda Colombia WhatsApp57 3003069506 contáctanos enlace al WhatsAppa class hrefexploretagswaraaccesorioswaraaccesoriosa,api.whatsapp.com/send?phone=573003069506
creaciones_tai,184,"4,870",28-Jun-18,3113192886,,,Línea de accesorios en piedras naturales Conexión con la belleza y sabiduría de los cristales  wapp 3113192886 a classnotranslate hreftainaperezariastainaperezariasa MedellinColombia,No link
mistica_estilo,"1,679","1,214",29-Jun-18,3193889464,,,Tienda Virtual 3193889464  a class hrefexploretagsaccesoriosAccesoriosa personalizados por mayor y detal Servicio a class hrefexploretagsestampaciónestampacióna y a class hrefexploretagsmodisteríamodisteríaa  No es lo que usas es tu esencia,m.facebook.com/misticaklere11
trevestuario,336,"2,678",29-Jun-18,3182152809,,,Tienda Virtual  Accesorios y prendas  Hecho con amor Apoya lo local  Envíos a todo el país  573182152809 a class hrefexploretagstrévestuariotrévestuarioa a class hrefexploretagsyosoytrévestuarioyosoytrévestuarioa,No link
julianacarcamoaccesorios,10,"1,983",28-Jun-18,,,3017769351, Amor por lo que haces Bisuteria  MedellínColombia PRÓXIMAMENTE,api.whatsapp.com/send?phone=+573017769351&amp;text=Hola
anelytienda,"1,383",709,29-Jun-18,3132784767,3103879382,,TejidosAccesorios RelojTennis a class hrefexploretagsanelytiendaanelytiendaa   Envíos a toda Colombia   Domicilio Gratis en Medellín Info y Pedidos  3132784767  3103879382,anelytienda.mercadoshops.com.co
accesoriosonlinemedellin,264,"31,292",28-Jun-18,3113734900,,,Domicilios Medellin y envíos nacionales  tienda  online what 3113734900 Facebook  Accesorios online Medellín Ventas por unidad y al por ma,No link
petulante_store,9,141,28-Jun-18,3104576318,,,Tienda virtual Excelente calidad Mercancía 100 GARANTIZADA Pago contra entrega  Domicilio gratis área metropolitana WhatsApp3104576318,No link
accesorios.mia.20,771,"1,663",29-Jun-18,3053208007,,,Balacas corbatines accesorios     Personaliza como quieras   WhatsApp 3053208007 Envíos Nacionales  a classnotranslate hrefmiabeautyshopmiabeautyshopa  a classnotranslate hreflaboutiquedemia20laboutiquedemia20a,api.whatsapp.com/send?phone=573053208007
mariaepalacioacces,136,128,29-Jun-18,,,3205502585,Bienvenidos Hecho a mano Hecho con amor Facebook Maria E Palacio Envios a toda Colombia MedellinCartagena Escribenos al Whatsaap,api.whatsapp.com/send?phone=573205502585
deseomagico12,230,939,29-Jun-18,,,3053939195,Descubre la magia que tenemos para ti Accesorios Maquillaje Jabones naturales Domicilios y Envios  Escribenos al Whatsapp a class hrefexploretagsunmundodemagiaunmundodemagiaa,api.whatsapp.com/send?phone=573053939195
perlatto_accesorios,"1,404","3,594",29-Jun-18,,,3003673425,Tienda VirtualTodo para  MedellinColombia  Envíos a todo el país  Domicilios en Medellin  WhatsApp no llamadas Haz click,api.whatsapp.com/send?phone=573003673425
indigo.store_,45,555,29-Jun-18,3117396028,,, Tienda virtual         Ropa        Accesorios  Whatsapp 3117396028  Direct  Entregas en Medellín  Envíos a otras ciudades,No link
bm_accesorios15,298,792,29-Jun-18,3006053705,,, Accesorios hechos a mano en Colombia  Fabricamos para tu marca  Tienda online  Envíos a todo el pais  WhatsApp 3006053705,api.whatsapp.com/send?phone=3006053705
diamondboutiquemedellin,72,92,27-Jun-18,3108207413,,,Todas las marcas Medellin colombia Domicilios en Medellin  Whatsapp 3108207413 ,No link
tornasoljoyas,31,382,27-Jun-18,3113592345,3122545795,,a class hrefexploretagsjoyasJoyasa inspiradas en la maravillosa diversidad de a class hrefexploretagsavesavesa de Colombia   3113592345  Wp 3122545795 Envíos a toda Colombia,No link
mariac_jewelry,31,426,27-Jun-18,3153971168,,,Handmade Fashion Jewelry WhatsApp 315 3971168  Bogotá  Envíos a todo el país,No link
relojesvyper_bogota,126,"9,892",29-Jun-18,,,3142268898, Cuál es tu Estilo Marca la Diferencia  Compra 100 Segura   Envíos a cualquier lugar   Distribuye nuestra marca   Whatsapp  ,api.whatsapp.com/send?phone=573142268898
modaespinela,40,685,27-Jun-18,3008927376,,,TIENDA DE BOLSOS Y ACCESORIOS  VENTAS AL POR MAYOR Y AL DETAL CC JAPON EL HUECO MEDELLÍN LOCAL 120 envios a todo el país  3008927376,No link
dekoloving,79,"1,932",27-Jun-18,3006134326,,,Joyeria y bisuteria artesanal de la mejor calidad       Cumpliendo sueños Ventas al por mayor Envíos a nivel nacional  Pedidos 3006134326,No link
flordemelocotonmed,235,771,29-Jun-18,3053336522,,,Hechos en Medellín productos que enamoran  Escríbenos al whatsApp  305 333 65 22  Siguenos también en  a class hrefexploretagsflordemelocotonmedflordemelocotonmeda,facebook.com/flordemelocotonmed
gemmariusaccesorios,82,"1,042",29-Jun-18,,,,a class hrefexploretagscompracolombianoCompraColombianoa  Tenemos envíos a toda Colombia  Domicilios en la ciudad de Medellín Ventas al por mayor y al detal,No link
antojate.accesorios,72,"1,490",28-Jun-18,,,3132862131,Accesorios hermosos a precios a justos compra segura Visitame también en a classnotranslate hrefantojitosparatodosboutiqueantojitosparatodosboutiquea a classnotranslate hrefbellamorpropiobellamorpropioa whap directo,api.whatsapp.com/send?phone=573132862131
antojitosparatodosboutique,235,"3,047",29-Jun-18,,,3132862131,Te ofrecemos productos de alta calidad y al alcance de tods Precios justos  ventas al detal envios COLOMBIA whapsap visitame a classnotranslate hrefbellamorpropiobellamorpropioa,api.whatsapp.com/send?phone=573132862131
estefaniaccesorios,"2,099","1,406",29-Jun-18,,,,Reputación a class hrefexploretagsclientestefaniafelizclientestefaniafeliza  Diseñadora de joya Tienda virtual Ventas al detal contacto al 04241825944 envíos Nacionales Por TEALCA DOMESA,No link
tenismedellin100,37,447,17-Nov-17,3216158342,,,Tenis 100 importados Compra segura Los mejores precios Al por mayor y detal  Envíos a todo el país  Wapp3216158342 contra entrega en medellin,No link
tulipanojoyeria,24,203,29-Jun-18,3008701057,,,Collares que inspiran a llevar un pedacito de la naturaleza siempre contigo Maria Monica Ruiz a classnotranslate hrefbiomarbiomara  57 3008701057  Medellín Colom,No link
jyaropayaccesorios,18,17,26-Jun-18,,,,Ventas al detal  x mayor,No link
_skulldesign,424,"1,232",27-Jun-18,3103764920,3146485880,337723493,Accesorios Envios en Medellín y a nivel nacional  Contáctanos al wpp 3103764920 3146485880 Ventas al por mayor y al detal 2017,www.facebook.com/Skull-Design-791255337723493
utopiastore2018,37,47,26-Jun-18,,,,Ropa  y accesorios  Domicilios y envíos  a classnotranslate hrefutopiastore2018utopiastore2018a SK a classnotranslate hrefkarenciro17karenciro17a a classnotranslate hrefsvalencia95svalencia95a,No link
kaycee.boutique,137,205,25-Jun-18,3006466640,3012817774,,Tienda virtual de ropa y accesorios INFO 3006466640  3012817774 ventas en medellín ,No link
ventas_pocholica,418,715,28-Jun-18,3206981922,,,Medellin Colombia Información 320 698 19 22  Envios a todo Colombia,api.whatsapp.com/send?phone=573206981922
velvet_tiendavirtual,102,419,25-Jun-18,3196507749,,,By a classnotranslate hrefleialarconleialarcona  a class hrefexploretagsvelvetvelveta  319 6507749 MedellínColombia  TIENDA VIRTUALEnvíos a todo Colombia,No link
epiphanyaccesorios,37,103,26-Jun-18,3014700059,,,Diseñamos con todo el amor accesorios femeninos Exclusividad con lotes pequeños de cada diseño Visita nuestra tienda  wp 3014700059,goo.gl/Ceu8Qk
joyeriamelissamedellin,84,527,26-Jun-18,,,,a class hrefexploretagstiendaonlinetiendaonlinea desde Medellín con hermosa joyeria elaborada en acero 100 garantizada servicio de domicilio Excelente calidad al mejor precio,joyeriamelissa.com
rey_artesaniasyvariedades,595,"2,541",29-Jun-18,,,3013521018,Importadoresmayoristas COL Bisutería Artesanías y Souvenirs 6749296 Envíos Nacionales Cuenta vinculada a classnotranslate hrefreyartesaniasreyartesaniasa dale click y contáctanos ,api.whatsapp.com/send?phone=573013521018
nativa_store_,16,130,25-Jun-18,,,,Tienda virtual de accesorios  Domicilios       área de Medellín  Pedidos por inbox   Encuentra en nuestros accesorios un obsequio ,No link
claudiagarciaaccesorios,279,"3,581",26-Jun-18,3217479955,,,Accesorios personalizados Para Hombres y Mujeres a class hrefexploretagsclaudiagarciaaccesoriosclaudiagarciaaccesoriosa a class hrefexploretagsmanillasconpropositomanillasconpropositoa  a class hrefexploretagsaccesoriosconpropositoaccesoriosconpropositoa 3217479955,api.whatsapp.com/send?phone=573217479955
trascendenza_,834,"47,099",28-Jun-18,3137935255,,,Más que un amuleto somos inspiración para TRASCENDER Created by a classnotranslate hrefjulianagutierrezgiraldojulianagutierrezgiraldoa  Pedidos Whatsapp  313 793 5255 MedCol,www.trascendenza.co
hippiechic_2018,222,294,24-Jun-18,3166270867,,,Accesorios para ti  Tienda virtual 3166270867 Pago contra entrega o por transferencia App Bancolombia Envíos seguros por todo el país,No link
paraisovioleta_envigado,73,63,29-Jun-18,3639343052,,,Accesorios para tu imagen El complemento para tus outfits Plan separe Calle 36 sur  3934 Barrio mesa Envigado 3052331546,No link
coco_accesorios03,406,"1,766",25-Jun-18,3104390383,,,Accesorios femeninos ventas por mayor y al detal inicia tu propio negocio   Excelentes utilidades  Info  3104390383,No link
accesorios_galia,599,"3,651",27-Jun-18,3212077774,,,Cúcuta NDS  Empresa colombiana haciendo diseños únicos para ti con amor  Usamos piedras semipreciosas acero y plata  Whatsapp 3212077774,No link
mithraccesorios,202,"1,341",28-Jun-18,,,,DEJA QUE TU ENERGÍA FLUYA La felicidad no está en la perfección  sino en el balance   Poder  Belleza  Armonía  BY a classnotranslate hrefEstefaniaVelasquezCEstefaniaVelasquezCa,No link
lunadalimited,12,40,29-Jun-18,,,,Delicate Handmade Jewelry Limited Edition Also Follow a classnotranslate hrefdiseniolunadadiseniolunadaa  World Wide Shipping   diseniolunadagmailcom  58412712348,No link
mainstore1,41,81,23-Jun-18,3147096608,3008921924,,Accesorios relojes ropa artículos deportivos y más Envíos a todo el país  Domicilio Medellin Wpp 31470966083008921924,No link
turmeleroaccesorios,"1,088",972,28-Jun-18,3187304396,,,WhatsApp 318 730 43 96 Medellín  Colombia Entregas en la estación Floresta o en la Universidad de Medellín Envíos a todo el país,api.whatsapp.com/send?phone=573187304396
valeriadesignsaccesorios,528,"1,570",29-Jun-18,,,3207199134,Accesorios para toda ocasión Collares  Pulseras  Aretes Productos  Colombianos Envíos Nacionales COMPRA SEGURA wwwvaleriadesignscomco,api.whatsapp.com/send?phone=573207199134
mada_productos,22,"14,166",23-Jun-18,,,,C O L O M B I A   M E D E L L I N   Productos del mundo  V e n t a s  Experience  Envíos a todo el pais  a class hrefexploretagsventasaquiVenTasAquia ,No link
fridamultimarca,22,167,29-Jun-18,,,,No biography,No link
mangobicheboutique1,"4,000","129,979",29-Jun-18,3710543520,,3108204099,Tienda de ropa femenina   Crr 37 1054Medellin  No se vende por mayor 3520326 5731082040993023361163 Art en promo no tienen cambio ,api.whatsapp.com/send?phone=573108204099
valquiria.accesorios2,55,229,28-Jun-18,3008476236,,,ACCESORIOS PARA MUJER Pedidos mínimo con 1 día de anticipación Whats 3008476236 Envíos nacionales Medellín,No link
dreambigaccesorios_,103,484,29-Jun-18,3137055686,,,ACCESORIOS HECHO A MANO Domi en MedellínEnvios NACIONALES  Pago contraentrega VENTAS AL POR MAYOR Y DETAL  Info al direct  o  3137055686,No link
ecozun.vargas,50,326,26-Jun-18,3224135833,,,Somos fabricantes al por mayor y al detal Innova e inicia tu negocio whatsapp  322 4135833  variedades en tamaño y color BOGOTA  COLOMBIA,No link
accesorioskaliope,66,190,27-Jun-18,3202678249,,,Tu Futuro Depende De Lo Que Hagas Hoy  Envíos Nacionales  Ventas al por mayor y al detal  Solo Whatsapp no Llamadas  3202678249,No link
angellyaccesorios,360,475,29-Jun-18,,,,Accesorios llaveros Ropa Interior Envios a todo Colombia Yuly Angelly Quintero Pedidos por direct,No link
avroseaccesorios,119,"11,668",29-Jun-18,3043550083,,,crearamarcrecer Amamos lo que hacemos a class hrefexploretagsavloverAVLovera  Direct   57 3043550083  Envíos a todo Colombia  Recibimos BITCOIN  Pedidos ,bit.ly/2FlM6pj
fannerag,23,"1,842",21-Jun-18,,,,SI TIENES UN RELOJ ESTO ES PARA TI Mantenimiento  reparación  y RESTAURACION  CC SANTA FE local 4170 KEVINS JOYEROS CC EL TESORO local 30,No link
guacastv,334,"13,212",28-Jun-18,3167528430,,, a classnotranslate hrefguacastvguacastva  Precios en cada foto  a class hrefexploretagsenvíosnacionalesEnvíosNacionalesa a class hrefexploretagsdomiciliosDomiciliosa a class hrefexploretagscontraentregacontraentregaa en a class hrefexploretagsmedellínMedellína a class hrefexploretagswhatsappWhatsAppa 3167528430 Link directo de WP,api.whatsapp.com/send?l=es&amp;phone=573167528430
kalanchoetienda,"4,729","20,070",28-Jun-18,,,,Boutique Multimarca  ModaComplementosJoyeríaBelleza amp Deco a class hrefexploretagsitsallabouthemixitsallabouthemixa  Compra en línea y tiendas físicas a class hrefexploretagskalanchoestylekalanchoestylea a class hrefexploretagskalanchoetiendakalanchoetiendaa,www.kalanchoetienda.com
face2facebolsosycalzado,"1,021","24,847",29-Jun-18,3771127112,,3165274539,Compra Online wwwface2facecomco  CC FLORIDA 99377 CC GRAN PLAZA 1127 CC PUERTA NORTE 1128  CC MEGACENTRO 132 Envios Nacionales a todo Colombia,api.whatsapp.com/send?phone=573165274539&amp;text=ventas
face2facebolsos,"1,359","10,757",29-Jun-18,3771127132,,,wwwface2facecomco CC Florida 99377  CC Gran plaza 1127  CC Megacentro 132 Puerta norte 1128  Envios Nacionales a todo Colombia WhatsApp 3165274539,iglink.co/face2facebolsos
beautythings_store,428,"2,656",29-Jun-18,3117299978,,,LO QUE UNA MUJER SIEMPRE QUIERE                                    WhatsApp 3117299978                   MedellínCol,No link
dulcesuspiros1,124,150,21-Jun-18,3023241972,,, Tienda online    Bello  Medellin  Domicilios en Medellín  Info wpp  3023241972  Compras  seguras  Envíos a todo el país  ,api.whatsapp.com/send?phone=573023241972
essencia_disenos,21,192,19-Jun-18,3003620878,,,Accesorios para mujer  Estamos en Medellín  Envíos nacionales Contacto por Whatsapp 3003620878,No link
acc_eladan,52,396,19-Jun-18,,,,Accesorios  Entrega segura  Medellín  Colombia  Al por Mayor y Detal  Más info  Direct ,No link
escargot.store,124,"5,826",18-Jun-18,3022736221,,,Handmade with LOVE  Minimalist Jewlery WhatsApp 3022736221  Colombia  a class hrefexploretagsjewlerydesignjewlerydesigna a class hrefexploretagsaccesorioaccesorioa,www.renuevatucloset.com.co/le-escargot
trenditstore1,185,"1,834",29-Jun-18,3183117656,,,TIENDA VIRTUAL  Envios a toda  Domicilio Med Productos enviados desde  CONFIABLE  By a classnotranslate hrefeliesco1990eliesco1990a WH  3183117656 14077518938,api.whatsapp.com/send?phone=14077518938
rey_artesanias,21,67,23-Jun-18,,,3013521018,Artesanías souvenirs Col  Envíos a todo el país FabricantesImportadores directosMayoristas a classnotranslate hrefreyartesaniasyvariedadesreyartesaniasyvariedadesa Contacto,api.whatsapp.com/send?phone=573013521018
accesorios.okra.col,197,787,18-Jun-18,3531922740,,,IMPORTADORESFABRICANTES Cc Babilonia Local 135 San Andresito San José Bogotá  Oriente Antioqueño Envíos a todo el país 3192274009 3192678538,www.facebook.com/accesorios.okra.col
dacari_accesorios,77,754,28-Jun-18,3005537117,,,Tienda virtual      Accesorios hecho a mano Domicilios en Medellín y envíos a todo el país      Realizamos personalizados  57 3005537117 ,api.whatsapp.com/send?phone=573005537117
azuleek,154,"1,609",17-Jun-18,3007059819,,,Accesorios elaborados en bronce con baño de oro Brilla al estilo Azuleek Envíos a toda Colombia 3007059819 WhatsApp By a classnotranslate hrefmayramuskusmayramuskusa BARRANQUILLA,No link
multiventas_hdm,333,501,29-Jun-18,,,3053552881,Tienda virtual al mejor precio a class hrefexploretagsaccesoriosAccesoriosa a class hrefexploretagssonidoSonidoa a class hrefexploretagsropaRopaa a class hrefexploretagszapatosZapatosa a class hrefexploretagshobbiesHobbiesa Envíos a TODO EL Pais Celulares a crédito en Medellín a class hrefexploretagsventasonlinecolombiaventasonlinecolombiaa,api.whatsapp.com/send?phone=573053552881
valentinabonita.co,90,134,24-Jun-18,3137420215,,,Envíos Nacionales Accesorios para entrega inmediata y personalizados Pedidos lunes a viernes de 8am  5pm  3137420215 TIENDA VIRTUAL,No link
la_italiana_store,161,167,21-Jun-18,,,3012117999,Ventas Al Por Mayor Y Al Detal En Plata Ley 925 Fantasía Murano Golfield Acero  y Relojeria,api.whatsapp.com/send?phone=573012117999
asdecorazon1u11,1,91,15-Jun-18,,,, Pañoletas hechas con la milenaria técnica a class hrefexploretagsbatikbatika  Piezas únicas obras de arte,No link
siddhartha_musical,194,"4,316",29-Jun-18,3105951992,,,Bienvenidos amigos de la música                                          57 310 595 19 92     231 35 66,www.siddharthamusical.com
medventas,256,"4,398",14-Jun-18,3008764756,,,Ventas al por mayor y detal Envíos en Colombia COMPRA A UN CLICK 3008764756,api.whatsapp.com/send?phone=573008764756
cmartienda,53,317,28-Jun-18,3006211089,,,Cmar está ubicado en la ciudad de Medellin Whatsapp 3006211089,No link
viviaccesorios,982,"1,558",29-Jun-18,3164755618,3155854508,,CC Premium Plaza Medellin574 o 2284775 3164755618 o 3155854508 Venta al por mayor y detal Síguenos en FB  a classnotranslate hrefviviaccesoriosfaceviviaccesoriosfacea,No link
iserns,630,"8,281",29-Jun-18,3059140533,,,Marketplace que permite a emprendedores artesanos publicar sus tiendas en línea  isernsgmailcom  1   305 9140533  58 212 7307346,www.iserns.com
miunicornioazul0101,361,938,22-Jun-18,,,,Cosas lindas hechas con amorpedidos por interno se hacen entregas en la Udea o en una estación del metro de Medellín Se hacen envíos nacionales,No link
camisetasdominic,56,"1,103",29-Jun-18,3046600096,,,Camisetas y accesorios  Medellin  Antioquia Pedidos unicamente whatsapp  304 660 00 96 Envíos a todo el pais  Ventas al por mayor y al detal,No link
elgabinetecurioso,51,783,12-Jun-18,,,,x x x x    COLLARES  BOLSOS  GAFAS  ETC         Medellín           Envíos nacionales,No link
divinatentacion6,150,510,25-Jun-18,,,,Cositas hermosas para ti  Tienda virtual  Medellín  Envíos a todo el país Chatea con nosotros,No link
pirita_accesorios_,174,196,12-Jun-18,3044131343,,3034734084,Echos a mano por diseñadoras    piritaaccesorioslmgmailcom  Etiquétanos a class hrefexploretagspiritaaccesoriospiritaaccesoriosa   Envíos nacionales e inter  573044131343,m.facebook.com/Pirita-accesorios-142911223034734/?tsid=0.8455721693391742&amp;source=result
accesorioscaramela,429,"1,383",29-Jun-18,3217630728,,, Accesorios y más  WE ARE PET FRIENDLY Pedidos 3217630728,No link
cisneazultienda,126,"1,000",28-Jun-18,3113782557,,,Bello  Colombia Envíos nacionales Oro golfi y acero Accesorios divinos Creadora a classnotranslate hrefelianabhenaoelianabhenaoa WhatsApp 57 3113782557 Escríbenos,api.whatsapp.com/send?phone=573113782557&amp;text=%3A%29
mokastars,185,95,11-Jun-18,3014830094,,,Un sitio pensado para ti  Maquillaje y Accesorios Excelentes productos y novedades  WhatsApp 57 3014830094 Envíos Nacionales,No link
agatha_co,248,"4,532",27-Jun-18,3133620755,,,Sara Ramirez Puerta  Envios a todo Colombia  3133620755,No link
nataliamartinezjewelry,261,"3,514",9-Jun-18,3104753854,,,Handmade Jewelry Envios nacionales  Contacto  57 310 475 3854  57 316 526 3923,No link
marketmundo,48,113,27-Jun-18,3052950350,,,MARKET MUNDO Contacto 3052950350 o al Direct  Productos de alta calidad  Envios a todo Colombia  a class hrefexploretagsventaderelojesventaderelojesa a class hrefexploretagsventadeaccesoriosventadeaccesoriosa a class hrefexploretagsregalosregalosa,No link
hamsalove.co,384,554,11-Jun-18,,,3147433647,MdeColombia WHATSAPP ,api.whatsapp.com/send?phone=573147433647
accesoriosymasmedellin,295,"3,161",28-Jun-18,3113734900,,,Domicilios medellín y envíos nacionales Servicio de pago contra entrega 100 online  3113734900 FB Accesorios online Medellín,No link
_supreme_store,46,"11,428",12-Jun-18,3012818950,,,Elegancia a tu alcance  Envíos a todo el país  Domicilios en Medellín Gratis  WhatsApp 301 281 8950,No link
ferneyni,71,"2,019",20-Jun-18,,,,Miembro a classnotranslate href4focusph4focuspha  Medellín  Colombia,edgarfninoc.wixsite.com/ferneyni
saritabolivarfotografia,170,"1,250",18-Jun-18,3008627244,,, Fotógrafa Saritabolivarfotogmailcom  300 862 72 44   MedellínColombia,api.whatsapp.com/send?l=es&amp;phone=573008627244
casarte_accesorios,443,"1,212",27-Jun-18,3163999731,,,Somos una tienda virtual dedicada a diseñar accesorios para el cabello 100 artesanales Materiales de alta calidad 3163999731Colombia,api.whatsapp.com/send?phone=573163999731
amartijoyeria,64,108,6-Jun-18,,,3127771097,Hermosas joyas italianas de plata ley 925,api.whatsapp.com/send?phone=573127771097
mortianastore,118,"2,278",26-Jun-18,3015656322,,,Tienda online  Curiosidades MedellínColombia Envios a todo el país Wpp 3015656322,No link
inavima_11,357,750,5-Jun-18,3052908300,3207435940,,BELIEVE IN YOURSELF Accesorios ropa y más  Medellín  3052908300   3207435940 Compras  seguras Envíos Nacionales  ,No link
accesorios_enmostacilla,29,37,4-Jun-18,3015621279,,,Venta de accesorios en mostacilla  hechos a mano Personalízalos Envíos  a toda Colombia Pedidos e informes 57 3015621279,No link
coral.importaciones,126,725,29-Jun-18,3012187309,,,By Andrea Salazar Carrera 52  4592 coralimportaciones20gmailcom 3012187309 Envios NalIntl Hecho a mano MedellínColombia Personalizamos,No link
sanyesaccesorios,52,42,20-Jun-18,,,,No biography,No link
otono_store,"1,422","4,199",29-Jun-18,3122895699,,,Tienda de Accesorios Creatividad y Exclusividad Escribenos Wps 3122895699 Domicilios en Medellin Envíos Nacionales Entrega Segura,api.whatsapp.com/send?phone=573122895699
onix_tienda,124,"1,303",1-Jun-18,3002041068,,,Accesorios y Moda  WhatsApp 3002041068 Medellín  Colombia   csagudelmgmailcom a class hrefexploretagsonixtiendaOnixTiendaa,instagram.com/onix_tienda
personnalitebk,"11,641","5,340",29-Jun-18,3186624431,,,Tienda Fisica llena de Personalidad  Originales  a Todo el Pais   318 662 4431  3007016023 Cll 49a class hrefexploretags1818a67 CC Crystalos Barrancabermeja,www.facebook.com/PersonnaliteRegalosOriginales
sandramartinez1306,164,232,31-May-18,,,3182899626,Tienda Virtual de Bolsos Zapatos y Accesorios de Dama hechos a mano Envíos a todo el país y sin costo en Medellín Escríbenos al Whatsapp,api.whatsapp.com/send?phone=573182899626
milujoyas,"2,230","11,511",29-Jun-18,3165301183,,,Carvalleta accesorios principal centro comercial hueco número uno local 102 WhatsApp info  57 3165301183   enlace directo  Pagos en bitcoin,api.whatsapp.com/send?phone=573165301183
valu_store01,191,502,29-Jun-18,3217651052,,,Somos una empresa confiable  comercializadora de perfumes  y variedades wpp 3217651052 Envigado Medellín  Envíos nacionales ,No link
illusiondesign488,151,"1,694",28-Jun-18,,,,Por la gracia de Dios soy lo que soy   MAS QUE UNA MARCA UN ESTILO  Venezuela Envíos nacionales  e internacionales  wsp 584261009532,No link
gice_correa,240,666,19-Jun-18,,,,Accesorios hechos con amor Venta al por mayor y al detal MedellinBogotá ,No link
gotadulce_accesorios,604,"2,277",29-Jun-18,3014415520,3105121741,,GOTA DULCE ACCESORIOS   gotadulceaccesoriosoutlookes 57 3014415520  3105121741  snapchat gotadulceacces  Cali  Colombia,No link
