Username,#Post,#Followers,Last_Photo,Phone_1,Phone_2,Biography,Link
belcasshop,215,"1,021",1-Jun-18,,3227593521,Venta de productos Nacionales e Importados Ventas al Mayor y al Detal Maquillaje MAC  Kylie  Perfumes Envios Nacionales Bogota Colombia,api.whatsapp.com/send?phone=573227593521
manumanustore_medellin,39,108,15-Jun-18,3016083404,,Venta de Ropa Americana 3016083404,No link
therapeutic.bag,76,104,16-Jun-18,,,No biography,No link
variedadespatuca,268,366,25-Jun-18,3044499742,,MedellínColombia  Maquillajejuguetería y cuidado personal  Siguenos magastoree playmaga Tel3044499742 medellín maquillaje,No link
venta.relojes.j,98,440,22-Jun-18,3046612798,3002393870,Compras seguras Confirmar existencia del reloj  WhatsApp 30466127983002393870 VentasXmayor y detal Envíos toda Colom Somos de Medellín,www.facebook.com/venta.relojes.7
luxury_ventas71,168,208,21-Jun-18,3013186218,,Envíos a toda colombia whatsapp  301 318 62 18 Ventas al por mayor y al detal,No link
calzadourbanomedellin,24,264,1-Apr-18,3113363347,,Escríbenos a whatsapp   3113363347 PRECIOS DE FABRICA PROMOCIONES CONSTANTES TOTALMENTE COLOMBIANO DE EXCELENTE CALIDAD GARANTÍA ,No link
cachorrosm,665,"1,944",27-Jun-18,3023996927,3046447777,COMPRA Y VENTA DE CACHORROS DE TODAS LAS RAZAS HERMOSOS CACHORROS QUE ALEGRARAN TU VIDA INF AL WHTASAPP  3023996927  3046447777,No link
chocolatespublicitarios,4,91,15-Jan-18,3146507433,,Los Chocolates en relieve y con etiqueta impresa una forma original para dar a conocer logotipo y marca Wpp3146507433Envios a todo el país,No link
donglamourmoda,53,156,19-Jun-18,3116785659,,siempre a la vanguardia de la moda y las tendencias Medellin Tienda de moda física y virtual Envios a todo el pais 100 confiable Whatsapp 3116785659,No link
muvapets,132,264,31-Mar-18,,,Productos para la comodidad de tu mascota,www.muvapets.com
mysticlinemakeup,32,59,8-Mar-18,3008679703,,By Mariana Diosa   Contacto mysticlinemakeupgmailcom  57 300 867 9703 Envíos Nacionales ,No link
firstimebutik,"2,381","10,000",27-Jun-18,3312702099,3058784699,CENTRO COMERCIAL METROPLAZA LOCAL 113 MEDELLIN  3127020991 3058784699 Gafas de las mejores marcas al mejor precio Envíos gratis a toda Colombia,www.facebook.com/Firstimebutik1
pilaricacompraventa,151,"1,356",19-Dec-17,3186560594,3302199987,ROBLEDO PILARICA CERCA AL HOSPITAL PABLO TOBON URIBE LOS MEJORES PRECIOS DE MEDELLIN Whatsapp 3186560594 tel 4427926,www.facebook.com/Pilarica-compraventa-152633021999878
c3fashionsales,261,"1,683",11-Jun-18,,,OnLine Sales OrdersImported products Prices subject to change Just ProductsMedellin  Colombia  All Country,www.facebook.com/c3fashion
lisertec_tecnologia,151,194,26-Jun-18,,,Celulares Computadores Accesorios para Celular y Pc Parlantes con Bluetooth Carcasas para Celular Vidrio Templado Diadema con Bluetooth,www.lisertec.com
casa.betta98,27,100,4-Dec-17,,,No biography,No link
adriana_patino_ropa,"4,445","5,700",27-Jun-18,3234823517,3162389373,Hacemos envíos a todo el país 3234823517 ventas online x mayor y al detalMedellinEnvigado 3162389373,No link
ventalenceriamedellin01,524,"1,204",23-May-18,,,Ropa casualRopa Deportiva  Ropa Interior Lo que te gusta a un precio INCOMPARABLE ventas al por mayor y detalMEDELLIN ,No link
fzshoes.store,208,255,23-Jun-18,,,Tienda virtual tennis todo tipo de marca importados a domicilios en medellín,No link
ventapropiedadraiz,149,727,24-Apr-18,3015760828,,Óscar Sandoval Varona  Propiedad Raíz Inversiones Inmobiliarias  3015760828  574 3687304 ossanvarhotmailcom oscarsandovalpropraiz,www.oscarsandovalvarona.com.co
pc_store_and_tobacco_shop,44,110,6-Feb-18,3004482219,,Tienda Física  virtual  Distribuidor de Tecnología E insumos para Fumar MedellinWpp 300 4482219 Envíos a nivel Nacional,No link
wantallsh,95,"1,375",3-Apr-18,,,Tienda On line WantAllShop MedellinCol ENVÍOS A TODO EL PAIS Importamos los productos más novedosos para ti wantallshopinggmailcom,www.facebook.com/WantAllShop
dallolociones,63,115,6-Sep-17,,,No biography,No link
zoomgadgetscolombia,42,138,14-Dec-17,,, zoomgadgetscolombia  Medellín  Colombia  Envíos a todo Colombia,No link
par10tienda,31,424,13-Mar-18,3217867737,, Tienda virtual  par10tiendagmailcom Whatsapp 3217867737 wwwfacebookcompar10tienda wwwpar10comco,api.whatsapp.com/send?phone=573217867737
anonimoclothes,13,18,10-Aug-17,,,Ropa nueva y de segunda en el mejor estado Domicilios gratis en Medellín Próximamente accesorios ,No link
arcoiris_makeup,361,928,5-Jun-18,3148573055,,venta de maquillaje sabanetaAntioquia envíos nacionales compras 100 Segura preparando próximo curso  3148573055,No link
theconcept1,15,92,3-Jul-17,3147733904,,Buzos versátiles que se ajustan a tu estilo perfectos para todos tus outfits Domicilios en Medellín envíos a todo   info 57 314 773 39 04,No link
accesorioshola,164,524,25-Nov-17,,,TIENDA ONLINE Medellin Colombia Escríbenos por MENSAJE DIRECTO y encarga tu favorito ,No link
dimarlove_,540,"7,638",25-Jun-18,,3175751330,Medellin  Quibdó Entregas inmediatas en la UdeMccMolinosUnicentro gratis Envíos nacionales Click para ir directamente al chat de WhatsApp,api.whatsapp.com/send?phone=573175751330
maxlove.detalles,882,"6,911",27-Jun-18,3193604316,,RespiraViveSueñaCree Y CREAPersonalizamos tus regalosDesayunosDecoramos fiesta sorpresa  infoWhatsap 3193604316 Domicilio en Medellin,api.whatsapp.com/send?phone=573193604316
donglamour.moda,48,132,11-Oct-17,3510030083,,DONGLAMOUR tienda de moda Medellin Calle 7  5235 Guayabal Envios a todo el pais 100 confiables 3008399254,No link
bodegafkstore,113,422,14-Mar-17,3014841664,,Wpp 3014841664 Entregas gratis en todo Medellín Ventas al por mayor y detal,No link
innovamospropiedadraiz,215,"1,534",25-Jun-18,3176204481,,Alquiler de propiedades Asesoría en compra y venta Más que una asesoría Somos tu hogar  3176204481,No link
taquito.gambeta,41,"1,230",27-Jul-17,3206802262,,Productos graficos futboleros de tus jugadores y equipos favoritos  WP 3206802262  3017061309,www.facebook.com/taquitoygambetafutbol
cagnasdelivery,63,"1,035",10-May-18,3155689254,3502833874,Tienda Virtual  Sólo WhatsApp o inbox de Instagram Original  57 3155689254 573502833874  Envios a nivel Nacional  y seguro,No link
medventas,256,"4,397",14-Jun-18,3008764756,,Ventas al por mayor y detal Envíos en Colombia COMPRA A UN CLICK 3008764756,api.whatsapp.com/send?phone=573008764756
urbanshoes_,"3,346","87,124",26-Jun-18,3152857181,,URBANSHOES Los mejores tenis al mejor precio Infowhatsapp3152857181 Servicio a domicilio en medellinEnvios a todo el paísseguro,No link
catloverco,42,142,31-Jan-16,,,Salud belleza fitness cuidado de la piel cuidado corporal cuidado del cabello Envíos locales y a toda Colombia Ventas al por mayor y al detal,www.facebook.com/catloverco
expertautos,5,22,9-Nov-15,,,Compra y venta de carros Porque sabemos lo importante que son tus sueños,www.expertautos.com
yesbrazilmoda,532,"7,693",27-Jun-18,,, Envíos nacionales e internacionales  ventas al por mayor y al detal  yesbrazilmedellingmailcom  Pedidos al whatsapp,goo.gl/Dxf3gK
